INFO:OpenGL.acceleratesupport:No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'
INFO:qasync:Using Qt Implementation: PyQt6
DEBUG:matplotlib:matplotlib data path: /opt/homebrew/lib/python3.11/site-packages/matplotlib/mpl-data
DEBUG:matplotlib:CONFIGDIR=/Users/isabelburgos/.matplotlib
DEBUG:matplotlib:interactive is False
DEBUG:matplotlib:platform is darwin
DEBUG:matplotlib:CACHEDIR=/Users/isabelburgos/.matplotlib
DEBUG:matplotlib.font_manager:Using fontManager instance from /Users/isabelburgos/.matplotlib/fontlist-v330.json
DEBUG:asyncio:Using selector: _Selector
INFO:new_socket_test:recieved data 316, length 16384
INFO:new_socket_test:recieved data 317, length 16384
INFO:new_socket_test:recieved data 318, length 16384
INFO:new_socket_test:recieved data 319, length 16384
INFO:new_socket_test:recieved data 320, length 16384
INFO:new_socket_test:recieved data 321, length 16384
INFO:new_socket_test:recieved data 322, length 16384
INFO:new_socket_test:recieved data 323, length 16384
INFO:new_socket_test:recieved data 324, length 16384
INFO:new_socket_test:recieved data 325, length 16384
INFO:new_socket_test:recieved data 326, length 16384
INFO:new_socket_test:recieved data 327, length 16384
INFO:new_socket_test:recieved data 328, length 16384
INFO:new_socket_test:recieved data 329, length 16384
INFO:new_socket_test:recieved data 330, length 16384
INFO:new_socket_test:recieved data 331, length 16384
INFO:new_socket_test:recieved data 332, length 16384
INFO:new_socket_test:recieved data 333, length 16384
INFO:new_socket_test:recieved data 334, length 16384
INFO:new_socket_test:recieved data 335, length 16384
INFO:new_socket_test:recieved data 336, length 16384
INFO:new_socket_test:recieved data 337, length 16384
INFO:new_socket_test:recieved data 338, length 16384
INFO:new_socket_test:recieved data 339, length 16384
INFO:new_socket_test:recieved data 340, length 16384
INFO:new_socket_test:recieved data 341, length 16384
INFO:new_socket_test:recieved data 342, length 16384
INFO:new_socket_test:recieved data 343, length 16384
INFO:new_socket_test:recieved data 344, length 16384
INFO:new_socket_test:recieved data 345, length 16384
INFO:new_socket_test:recieved data 346, length 16384
INFO:new_socket_test:recieved data 347, length 16384
INFO:new_socket_test:recieved data 348, length 16384
INFO:new_socket_test:recieved data 349, length 16384
INFO:new_socket_test:recieved data 350, length 16384
INFO:new_socket_test:recieved data 351, length 16384
INFO:new_socket_test:recieved data 352, length 16384
INFO:new_socket_test:recieved data 353, length 16384
INFO:new_socket_test:recieved data 354, length 16384
INFO:new_socket_test:recieved data 355, length 16384
INFO:new_socket_test:recieved data 356, length 16384
INFO:new_socket_test:recieved data 357, length 16384
INFO:new_socket_test:recieved data 358, length 16384
INFO:new_socket_test:recieved data 359, length 16384
INFO:new_socket_test:recieved data 360, length 16384
INFO:new_socket_test:recieved data 361, length 16384
INFO:new_socket_test:recieved data 362, length 16384
INFO:new_socket_test:recieved data 363, length 16384
INFO:new_socket_test:recieved data 364, length 16384
INFO:new_socket_test:recieved data 365, length 16384
INFO:new_socket_test:recieved data 366, length 16384
INFO:new_socket_test:recieved data 367, length 16384
INFO:new_socket_test:recieved data 368, length 16384
INFO:new_socket_test:recieved data 369, length 16384
INFO:new_socket_test:recieved data 370, length 16384
INFO:new_socket_test:recieved data 371, length 16384
INFO:new_socket_test:recieved data 372, length 16384
INFO:new_socket_test:recieved data 373, length 16384
INFO:new_socket_test:recieved data 374, length 16384
INFO:new_socket_test:recieved data 375, length 16384
INFO:new_socket_test:recieved data 376, length 16384
INFO:new_socket_test:recieved data 377, length 16384
INFO:new_socket_test:recieved data 378, length 16384
INFO:new_socket_test:recieved data 379, length 16384
INFO:new_socket_test:recieved data 380, length 16384
INFO:new_socket_test:recieved data 381, length 16384
INFO:new_socket_test:recieved data 382, length 16384
INFO:new_socket_test:recieved data 383, length 16384
INFO:new_socket_test:recieved data 384, length 16384
INFO:new_socket_test:recieved data 385, length 16384
INFO:new_socket_test:recieved data 386, length 16384
INFO:new_socket_test:recieved data 387, length 16384
INFO:new_socket_test:recieved data 388, length 16384
INFO:new_socket_test:recieved data 389, length 16384
INFO:new_socket_test:recieved data 390, length 16384
INFO:new_socket_test:recieved data 391, length 16384
INFO:new_socket_test:recieved data 392, length 16384
INFO:new_socket_test:recieved data 393, length 16384
INFO:new_socket_test:recieved data 394, length 16384
INFO:new_socket_test:recieved data 395, length 16384
INFO:new_socket_test:recieved data 396, length 16384
INFO:new_socket_test:recieved data 397, length 16384
INFO:new_socket_test:recieved data 398, length 16384
INFO:new_socket_test:recieved data 399, length 16384
INFO:new_socket_test:recieved data 400, length 16384
